iter	Passed	Remaining
0	1	132
1	2	120
2	3	115
3	4	105
4	5	102
5	6	99
6	7	99
7	8	100
8	9	99
9	10	96
10	12	97
11	13	96
12	14	94
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	29	76
28	31	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	62
41	44	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	54
48	50	52
49	51	51
50	53	50
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	59	44
57	59	43
58	60	42
59	61	41
60	62	40
61	64	39
62	64	38
63	65	37
64	66	36
65	67	35
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	94	3
96	96	2
97	96	1
98	97	0
99	98	0
